epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,128901,1.39253,2.34404,1.38332,0.00823,0.26838,0.74859,0.58066,0.65413,0.48609,0.73888,0.56731,0.63048,0.42507,1.2101,2.12417,1.0901,0.00938,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,134270,1.38916,2.33837,1.38059,0.00821,0.2655,0.74876,0.57757,0.65665,0.48811,0.73697,0.56612,0.63149,0.42692,1.20861,2.12347,1.08703,0.00937,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,139636,1.39068,2.33728,1.37952,0.00818,0.26418,0.74329,0.58478,0.6588,0.48942,0.73634,0.57035,0.63304,0.42768,1.20738,2.12215,1.08532,0.00932,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,145240,1.39137,2.33567,1.37723,0.00821,0.26518,0.75168,0.58203,0.66101,0.49075,0.74596,0.56696,0.63466,0.42869,1.20734,2.11726,1.08089,0.00932,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,150741,1.38512,2.32738,1.37473,0.00814,0.26307,0.74293,0.58719,0.66238,0.49234,0.74755,0.5701,0.63613,0.42988,1.20596,2.11562,1.07759,0.0093,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,155801,1.38551,2.32468,1.37117,0.00816,0.26358,0.74395,0.58746,0.66375,0.49439,0.74172,0.57444,0.63803,0.43138,1.20533,2.11437,1.07551,0.00929,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,159815,1.38356,2.32706,1.36354,0.00813,0.26114,0.73888,0.59104,0.66465,0.49508,0.74772,0.57112,0.63828,0.43155,1.20321,2.11271,1.07477,0.00923,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,163833,1.37872,2.31874,1.36394,0.00812,0.26107,0.74938,0.58374,0.66429,0.49506,0.75423,0.56818,0.63937,0.43203,1.20149,2.11525,1.07321,0.00922,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,167737,1.38289,2.32565,1.36522,0.00811,0.26066,0.74799,0.58386,0.66484,0.49546,0.75198,0.56932,0.63862,0.43083,1.2003,2.11361,1.07285,0.00918,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,171515,1.37741,2.31242,1.3571,0.00811,0.25823,0.76584,0.58321,0.66805,0.49753,0.75776,0.57345,0.64196,0.43178,1.19637,2.1134,1.0743,0.00913,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
