epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,87906,1.37494,1.3569,0.00803,0.73404,0.58722,0.65991,0.4901,1.19991,1.08852,0.00911,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,90605.1,1.37462,1.35527,0.00801,0.74281,0.58929,0.66099,0.49086,1.19815,1.0858,0.0091,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,93260.5,1.37311,1.35114,0.00795,0.74548,0.58965,0.66201,0.49191,1.1967,1.0836,0.00907,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,95918.6,1.37051,1.3443,0.00797,0.74322,0.59403,0.66347,0.49382,1.19752,1.07902,0.00907,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,98545.3,1.3697,1.34582,0.00794,0.74342,0.59623,0.66519,0.49501,1.19857,1.07327,0.00905,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,101207,1.36514,1.33758,0.0079,0.75789,0.58823,0.66558,0.4955,1.19804,1.07176,0.00904,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,103847,1.36424,1.33725,0.0079,0.757,0.58915,0.66678,0.49646,1.19775,1.07088,0.00907,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,106525,1.36175,1.33226,0.00791,0.75787,0.59017,0.66898,0.49811,1.19466,1.06965,0.00905,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,109202,1.36136,1.33318,0.00788,0.76437,0.58519,0.6681,0.49804,1.19392,1.06821,0.00903,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,111905,1.35543,1.32128,0.00788,0.76419,0.58788,0.6701,0.5002,1.19347,1.06618,0.00901,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,114622,1.35607,1.32223,0.0078,0.75811,0.58833,0.67026,0.50111,1.19337,1.06214,0.009,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,117342,1.35218,1.3205,0.00781,0.74946,0.59313,0.6709,0.50169,1.19159,1.06294,0.00896,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,119999,1.35443,1.31575,0.00775,0.76034,0.58879,0.67111,0.5012,1.19108,1.06031,0.00896,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,122684,1.34855,1.31109,0.00777,0.7581,0.59102,0.67149,0.50195,1.18932,1.05927,0.00893,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,125323,1.35178,1.31005,0.00774,0.76236,0.59274,0.67346,0.50362,1.18892,1.05511,0.00892,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,127999,1.3447,1.30308,0.00772,0.7543,0.59909,0.67323,0.50394,1.1894,1.05112,0.00892,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,130650,1.34477,1.29615,0.00768,0.75089,0.60183,0.67486,0.50498,1.18875,1.05129,0.00891,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,133326,1.34327,1.29745,0.00769,0.76406,0.59592,0.6759,0.5061,1.18759,1.0502,0.00888,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,135978,1.34364,1.29579,0.00766,0.74867,0.60689,0.67556,0.50601,1.18796,1.04828,0.00888,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,138651,1.33692,1.28804,0.00763,0.75288,0.60536,0.67671,0.50611,1.18579,1.047,0.00887,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,141317,1.3404,1.28173,0.00759,0.7512,0.60639,0.678,0.50738,1.18645,1.04309,0.00887,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,143995,1.33097,1.27257,0.00758,0.75158,0.60525,0.67902,0.50782,1.18613,1.04061,0.00887,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,146669,1.33155,1.27648,0.00757,0.75523,0.60719,0.67947,0.5082,1.18488,1.04079,0.00887,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,149351,1.32935,1.27163,0.00751,0.75658,0.60725,0.68076,0.50895,1.18416,1.03966,0.00885,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,152103,1.32852,1.26831,0.00748,0.75396,0.61039,0.68084,0.5095,1.18219,1.04059,0.00883,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,154814,1.3229,1.26045,0.00749,0.7636,0.61156,0.68339,0.51081,1.18085,1.03957,0.00882,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,156926,1.32103,1.25493,0.00746,0.76826,0.60603,0.68283,0.51103,1.18014,1.03962,0.00882,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
